,width,module,t,l1,optimizer,lr
0,3,kernel,1,0.0011131693609058857,sgd,0.1
1,3,up_project,1,0.3112374544143677,sgd,0.1
2,3,down_project,1,0.0,sgd,0.1
3,3,,1,0.0,sgd,0.1
4,3,kernel,2,0.0011131693609058857,sgd,0.1
5,3,up_project,2,0.3112374544143677,sgd,0.1
6,3,down_project,2,0.022883351892232895,sgd,0.1
7,3,,2,0.022883351892232895,sgd,0.1
8,3,kernel,3,0.0014430019073188305,sgd,0.1
9,3,up_project,3,0.3141198754310608,sgd,0.1
10,3,down_project,3,0.046838365495204926,sgd,0.1
11,3,,3,0.046838365495204926,sgd,0.1
12,384,kernel,1,0.0004691927460953593,sgd,0.1
13,384,up_project,1,0.35126519203186035,sgd,0.1
14,384,down_project,1,0.0,sgd,0.1
15,384,,1,0.0,sgd,0.1
16,384,kernel,2,0.0004691927460953593,sgd,0.1
17,384,up_project,2,0.35126519203186035,sgd,0.1
18,384,down_project,2,0.32859769463539124,sgd,0.1
19,384,,2,0.32859769463539124,sgd,0.1
20,384,kernel,3,0.0005622680764645338,sgd,0.1
21,384,up_project,3,2.416010856628418,sgd,0.1
22,384,down_project,3,131.32089233398438,sgd,0.1
23,384,,3,131.32089233398438,sgd,0.1
24,1000,kernel,1,0.0008381341467611492,sgd,0.1
25,1000,up_project,1,0.3538631498813629,sgd,0.1
26,1000,down_project,1,0.0,sgd,0.1
27,1000,,1,0.0,sgd,0.1
28,1000,kernel,2,0.0008381341467611492,sgd,0.1
29,1000,up_project,2,0.3538631498813629,sgd,0.1
30,1000,down_project,2,9.799983978271484,sgd,0.1
31,1000,,2,9.799983978271484,sgd,0.1
32,1000,kernel,3,0.0008381341467611492,sgd,0.1
33,1000,up_project,3,0.3538631498813629,sgd,0.1
34,1000,down_project,3,9.799983978271484,sgd,0.1
35,1000,,3,9.799983978271484,sgd,0.1
36,3000,kernel,1,0.00036284307134337723,sgd,0.1
37,3000,up_project,1,0.3415481448173523,sgd,0.1
38,3000,down_project,1,0.0,sgd,0.1
39,3000,,1,0.0,sgd,0.1
40,3000,kernel,2,0.00036284307134337723,sgd,0.1
41,3000,up_project,2,0.3415481448173523,sgd,0.1
42,3000,down_project,2,0.084843710064888,sgd,0.1
43,3000,,2,0.084843710064888,sgd,0.1
44,3000,kernel,3,0.00039786164416000247,sgd,0.1
45,3000,up_project,3,10.211471557617188,sgd,0.1
